Invoice No,Customer ID,Invoice Date,Due Date,Invoice Amount,Amount Paid,Outstanding Amount
INV00035,CUST007,2024-04-28 00:00:00,2024-06-27 00:00:00,20729.92,5182.48,15547.44
INV00036,CUST068,2024-12-31 00:00:00,2025-03-01 00:00:00,7499.84,0,7499.84
INV00037,CUST058,2023-07-11 00:00:00,2023-08-25 00:00:00,23214.53,17410.9,5803.63
INV00038,CUST117,2025-11-06 00:00:00,2026-01-05 00:00:00,24263.2,24263.2,0
INV00039,CUST114,2024-06-07 00:00:00,2024-08-06 00:00:00,14495.88,14495.88,0
INV00040,CUST109,2025-07-06 00:00:00,2025-08-20 00:00:00,4003.53,4003.53,0
INV00041,CUST075,2024-02-05 00:00:00,2024-03-21 00:00:00,9676.43,4838.22,4838.21
INV00042,CUST029,2025-06-04 00:00:00,2025-07-19 00:00:00,20044.44,15033.33,5011.11
INV00043,CUST120,2024-12-05 00:00:00,2025-01-19 00:00:00,9501.07,0,9501.07
INV00044,CUST036,2023-01-22 00:00:00,2023-03-23 00:00:00,2631.92,1315.96,1315.96
INV00045,CUST089,2024-04-18 00:00:00,2024-06-17 00:00:00,14141.23,3535.31,10605.92
INV00046,CUST021,2023-07-29 00:00:00,2023-08-28 00:00:00,21205.46,5301.36,15904.1
INV00047,CUST036,2023-11-02 00:00:00,2023-12-02 00:00:00,20000.2,15000.15,5000.05
INV00048,CUST010,2024-12-04 00:00:00,2025-02-02 00:00:00,4790.52,0,4790.52
INV00049,CUST101,2024-11-17 00:00:00,2024-12-17 00:00:00,16982.73,0,16982.73
INV00050,CUST073,2023-10-12 00:00:00,2023-12-11 00:00:00,5902.35,5902.35,0
INV00051,CUST024,2024-12-16 00:00:00,2025-01-15 00:00:00,5846.08,0,5846.08
INV00052,CUST064,2025-02-01 00:00:00,2025-03-18 00:00:00,21914.76,5478.69,16436.07
INV00053,CUST099,2025-08-05 00:00:00,2025-09-04 00:00:00,6616.89,6616.89,0
INV00054,CUST049,2024-01-16 00:00:00,2024-03-01 00:00:00,6949.56,3474.78,3474.78
INV00055,CUST099,2024-04-04 00:00:00,2024-05-19 00:00:00,516.01,258,258.01
INV00056,CUST112,2025-10-27 00:00:00,2025-12-11 00:00:00,21831.39,0,21831.39
INV00057,CUST036,2023-01-29 00:00:00,2023-03-15 00:00:00,19918.57,0,19918.57
INV00058,CUST082,2025-06-25 00:00:00,2025-07-25 00:00:00,15869.56,15869.56,0
INV00059,CUST113,2025-11-22 00:00:00,2026-01-21 00:00:00,18881.51,9440.75,9440.76
INV00060,CUST103,2025-05-28 00:00:00,2025-07-12 00:00:00,4225.19,2112.59,2112.6
INV00061,CUST096,2023-03-20 00:00:00,2023-04-19 00:00:00,11728.93,0,11728.93
INV00062,CUST024,2025-08-04 00:00:00,2025-09-18 00:00:00,9104.87,0,9104.87
INV00063,CUST023,2024-04-03 00:00:00,2024-05-03 00:00:00,2797.52,2797.52,0
INV00064,CUST062,2024-07-23 00:00:00,2024-08-22 00:00:00,12410.2,3102.55,9307.65
INV00065,CUST096,2025-01-07 00:00:00,2025-02-06 00:00:00,23058.12,11529.06,11529.06
INV00066,CUST037,2024-05-30 00:00:00,2024-07-29 00:00:00,1481.45,0,1481.45
INV00067,CUST012,2024-02-01 00:00:00,2024-03-02 00:00:00,7640.79,3820.4,3820.39
INV00068,CUST113,2023-02-08 00:00:00,2023-03-10 00:00:00,5584.75,5584.75,0
INV00069,CUST055,2025-06-05 00:00:00,2025-08-04 00:00:00,6334.59,3167.3,3167.29
INV00070,CUST013,2025-03-07 00:00:00,2025-05-06 00:00:00,22756.65,0,22756.65
INV00071,CUST023,2023-06-06 00:00:00,2023-07-06 00:00:00,11967.69,5983.84,5983.85
INV00072,CUST089,2025-06-02 00:00:00,2025-08-01 00:00:00,11924.34,8943.26,2981.08
INV00073,CUST099,2025-08-31 00:00:00,2025-10-15 00:00:00,19134.1,4783.52,14350.58
INV00074,CUST105,2025-11-11 00:00:00,2025-12-26 00:00:00,4285.06,4285.06,0
INV00075,CUST030,2025-04-28 00:00:00,2025-06-27 00:00:00,12438,6219,6219
INV00076,CUST017,2025-01-17 00:00:00,2025-03-18 00:00:00,11034.64,11034.64,0
INV00077,CUST113,2025-09-15 00:00:00,2025-10-15 00:00:00,15124.31,7562.16,7562.15
INV00078,CUST062,2023-01-21 00:00:00,2023-03-22 00:00:00,24989.16,0,24989.16
INV00079,CUST084,2023-10-30 00:00:00,2023-11-29 00:00:00,19351.5,0,19351.5
INV00080,CUST112,2025-05-18 00:00:00,2025-07-02 00:00:00,10247.71,0,10247.71
INV00081,CUST089,2023-03-25 00:00:00,2023-05-24 00:00:00,20775.05,20775.05,0
INV00082,CUST086,2024-07-23 00:00:00,2024-08-22 00:00:00,4682.35,3511.76,1170.59
INV00083,CUST013,2025-07-22 00:00:00,2025-08-21 00:00:00,1246.36,623.18,623.18
INV00084,CUST059,2025-10-05 00:00:00,2025-11-19 00:00:00,5508.99,0,5508.99
INV00085,CUST019,2025-03-03 00:00:00,2025-05-02 00:00:00,8840.08,0,8840.08
INV00086,CUST049,2025-03-02 00:00:00,2025-04-16 00:00:00,13009.23,9756.92,3252.31
INV00087,CUST100,2024-05-06 00:00:00,2024-06-05 00:00:00,15570.66,3892.66,11678
INV00088,CUST012,2023-07-27 00:00:00,2023-08-26 00:00:00,22809.84,0,22809.84
INV00089,CUST061,2025-12-19 00:00:00,2026-02-17 00:00:00,12991.42,6495.71,6495.71
INV00090,CUST105,2024-03-05 00:00:00,2024-04-04 00:00:00,12781.25,0,12781.25
INV00091,CUST019,2025-09-11 00:00:00,2025-11-10 00:00:00,1730.95,0,1730.95
INV00092,CUST076,2024-06-03 00:00:00,2024-07-18 00:00:00,1355.33,338.83,1016.5
INV00093,CUST009,2024-08-13 00:00:00,2024-10-12 00:00:00,14003.42,0,14003.42
INV00094,CUST071,2025-11-16 00:00:00,2026-01-15 00:00:00,11235.38,11235.38,0
INV00095,CUST028,2023-07-18 00:00:00,2023-08-17 00:00:00,21059.92,0,21059.92
INV00096,CUST078,2024-01-22 00:00:00,2024-02-21 00:00:00,4436.65,0,4436.65
INV00097,CUST095,2023-12-15 00:00:00,2024-02-13 00:00:00,1111.81,0,1111.81
INV00098,CUST052,2025-08-17 00:00:00,2025-09-16 00:00:00,11501.45,8626.09,2875.36
INV00099,CUST083,2024-11-23 00:00:00,2024-12-23 00:00:00,6318.22,1579.56,4738.66
INV00100,CUST111,2024-01-13 00:00:00,2024-02-12 00:00:00,1715.55,857.78,857.77
INV00101,CUST016,2025-06-17 00:00:00,2025-08-16 00:00:00,18252.66,0,18252.66
INV00102,CUST117,2025-07-04 00:00:00,2025-08-03 00:00:00,3234.03,0,3234.03
INV00103,CUST069,2024-06-10 00:00:00,2024-08-09 00:00:00,15403.83,3850.96,11552.87
INV00104,CUST099,2025-01-03 00:00:00,2025-02-02 00:00:00,7385.72,7385.72,0
INV00105,CUST012,2023-07-25 00:00:00,2023-09-08 00:00:00,4750.65,4750.65,0
INV00106,CUST025,2024-03-30 00:00:00,2024-04-29 00:00:00,9803.91,0,9803.91
INV00107,CUST052,2024-06-04 00:00:00,2024-07-04 00:00:00,20135.42,10067.71,10067.71
INV00108,CUST085,2025-10-13 00:00:00,2025-12-12 00:00:00,10106.29,10106.29,0
INV00109,CUST100,2025-08-13 00:00:00,2025-10-12 00:00:00,18893.86,4723.46,14170.4
INV00110,CUST053,2024-12-26 00:00:00,2025-01-25 00:00:00,3574.41,3574.41,0
INV00111,CUST023,2025-10-10 00:00:00,2025-11-24 00:00:00,19432.9,0,19432.9
INV00112,CUST016,2024-05-15 00:00:00,2024-06-14 00:00:00,6304.87,6304.87,0
INV00113,CUST057,2023-04-27 00:00:00,2023-05-27 00:00:00,17096.13,12822.1,4274.03
INV00114,CUST039,2024-01-21 00:00:00,2024-03-06 00:00:00,14361.65,14361.65,0
INV00115,CUST109,2024-08-06 00:00:00,2024-10-05 00:00:00,23264.05,11632.02,11632.03
INV00116,CUST053,2024-01-30 00:00:00,2024-02-29 00:00:00,9989.4,2497.35,7492.05
INV00117,CUST042,2025-12-23 00:00:00,2026-02-21 00:00:00,2121.05,2121.05,0
INV00118,CUST058,2024-12-21 00:00:00,2025-02-19 00:00:00,969.31,0,969.31
INV00119,CUST039,2023-03-13 00:00:00,2023-04-27 00:00:00,20758.03,0,20758.03
INV00120,CUST014,2023-10-01 00:00:00,2023-11-15 00:00:00,13356.02,10017.02,3339
INV00121,CUST095,2023-12-04 00:00:00,2024-02-02 00:00:00,19493.48,14620.11,4873.37
INV00122,CUST005,2024-08-29 00:00:00,2024-09-28 00:00:00,6243.43,6243.43,0
INV00123,CUST035,2023-06-15 00:00:00,2023-08-14 00:00:00,8954.55,0,8954.55
INV00124,CUST087,2023-01-11 00:00:00,2023-02-10 00:00:00,1237.54,928.16,309.38
INV00125,CUST093,2024-12-29 00:00:00,2025-01-28 00:00:00,24056.56,18042.42,6014.14
INV00126,CUST107,2025-03-11 00:00:00,2025-04-25 00:00:00,16862.76,0,16862.76
INV00127,CUST075,2023-04-12 00:00:00,2023-05-12 00:00:00,23363.52,5840.88,17522.64
INV00128,CUST018,2025-02-17 00:00:00,2025-03-19 00:00:00,7004.66,0,7004.66
INV00129,CUST111,2023-08-02 00:00:00,2023-10-01 00:00:00,15480.86,0,15480.86
INV00130,CUST076,2024-02-05 00:00:00,2024-03-21 00:00:00,17123.25,17123.25,0
INV00131,CUST009,2024-08-10 00:00:00,2024-09-09 00:00:00,8279.97,4139.98,4139.99
INV00132,CUST074,2025-06-07 00:00:00,2025-07-07 00:00:00,21278.68,15959.01,5319.67
INV00133,CUST058,2025-12-05 00:00:00,2026-01-19 00:00:00,23705.46,23705.46,0
INV00134,CUST108,2024-08-14 00:00:00,2024-10-13 00:00:00,22178.95,5544.74,16634.21
INV00135,CUST017,2023-04-02 00:00:00,2023-05-17 00:00:00,18607.14,18607.14,0
INV00136,CUST102,2024-11-03 00:00:00,2024-12-18 00:00:00,7297.88,1824.47,5473.41
INV00137,CUST007,2024-12-14 00:00:00,2025-01-13 00:00:00,7399.59,7399.59,0
INV00138,CUST046,2025-07-24 00:00:00,2025-08-23 00:00:00,24102.33,0,24102.33
INV00139,CUST013,2023-08-30 00:00:00,2023-10-29 00:00:00,751.97,751.97,0
INV00140,CUST040,2023-01-02 00:00:00,2023-02-01 00:00:00,18043.22,0,18043.22
INV00141,CUST042,2023-08-13 00:00:00,2023-09-12 00:00:00,17803.03,0,17803.03
INV00142,CUST009,2025-03-11 00:00:00,2025-04-25 00:00:00,15755.89,11816.92,3938.97
INV00143,CUST050,2024-08-11 00:00:00,2024-09-10 00:00:00,24757.67,6189.42,18568.25
INV00144,CUST027,2023-04-26 00:00:00,2023-06-25 00:00:00,8141.05,4070.52,4070.53
INV00145,CUST066,2025-07-06 00:00:00,2025-08-20 00:00:00,8829.31,2207.33,6621.98
INV00146,CUST005,2023-07-13 00:00:00,2023-09-11 00:00:00,2434.02,1825.52,608.5
INV00147,CUST029,2025-05-20 00:00:00,2025-07-04 00:00:00,11348.55,0,11348.55
INV00148,CUST037,2023-03-31 00:00:00,2023-04-30 00:00:00,6895.69,0,6895.69
INV00149,CUST038,2023-05-02 00:00:00,2023-06-16 00:00:00,8912.97,0,8912.97
INV00150,CUST083,2023-05-23 00:00:00,2023-07-07 00:00:00,20947.01,5236.75,15710.26
INV00151,CUST008,2025-09-20 00:00:00,2025-10-20 00:00:00,23419.37,0,23419.37
INV00152,CUST112,2023-04-16 00:00:00,2023-05-16 00:00:00,5050.46,1262.62,3787.84
INV00153,CUST109,2025-06-05 00:00:00,2025-08-04 00:00:00,9626.47,2406.62,7219.85
INV00154,CUST065,2024-03-03 00:00:00,2024-05-02 00:00:00,23251.45,0,23251.45
INV00155,CUST086,2023-11-13 00:00:00,2023-12-13 00:00:00,2014.31,1007.16,1007.15
INV00156,CUST116,2024-09-26 00:00:00,2024-10-26 00:00:00,2762.83,2762.83,0
INV00157,CUST017,2023-01-09 00:00:00,2023-02-08 00:00:00,4488.38,0,4488.38
INV00158,CUST071,2025-02-12 00:00:00,2025-03-29 00:00:00,15082.71,7541.36,7541.35
INV00159,CUST089,2023-08-11 00:00:00,2023-09-25 00:00:00,4186.57,2093.28,2093.29
INV00160,CUST045,2024-07-06 00:00:00,2024-08-20 00:00:00,24217.87,6054.47,18163.4
INV00161,CUST004,2024-12-16 00:00:00,2025-01-15 00:00:00,11444.51,8583.38,2861.13
INV00162,CUST036,2023-04-21 00:00:00,2023-06-20 00:00:00,12787.19,3196.8,9590.39
INV00163,CUST070,2023-09-08 00:00:00,2023-10-08 00:00:00,6543.14,3271.57,3271.57
INV00164,CUST031,2024-01-18 00:00:00,2024-03-03 00:00:00,12038.53,0,12038.53
INV00165,CUST019,2023-01-07 00:00:00,2023-02-21 00:00:00,16716.88,8358.44,8358.44
INV00166,CUST061,2024-04-03 00:00:00,2024-05-03 00:00:00,18903.84,9451.92,9451.92
INV00167,CUST108,2023-07-27 00:00:00,2023-08-26 00:00:00,18969.77,0,18969.77
INV00168,CUST054,2025-06-18 00:00:00,2025-08-02 00:00:00,14658.33,3664.58,10993.75
INV00169,CUST039,2023-01-22 00:00:00,2023-03-08 00:00:00,22656.81,22656.81,0
INV00170,CUST091,2024-02-14 00:00:00,2024-03-30 00:00:00,20526.49,5131.62,15394.87
INV00171,CUST074,2025-06-13 00:00:00,2025-07-13 00:00:00,19047.68,9523.84,9523.84
INV00172,CUST090,2024-05-29 00:00:00,2024-07-13 00:00:00,1862.34,1862.34,0
INV00173,CUST019,2025-03-19 00:00:00,2025-05-03 00:00:00,668.51,501.38,167.13
INV00174,CUST039,2025-05-23 00:00:00,2025-07-22 00:00:00,5704.96,2852.48,2852.48
INV00175,CUST067,2023-01-14 00:00:00,2023-02-13 00:00:00,16756.33,12567.25,4189.08
INV00176,CUST045,2025-08-28 00:00:00,2025-10-27 00:00:00,10574.34,10574.34,0
INV00177,CUST013,2025-09-04 00:00:00,2025-11-03 00:00:00,10358.95,2589.74,7769.21
INV00178,CUST114,2025-10-10 00:00:00,2025-11-24 00:00:00,22172.38,5543.1,16629.28
INV00179,CUST092,2025-11-01 00:00:00,2025-12-01 00:00:00,22441.29,5610.32,16830.97
INV00180,CUST058,2023-03-28 00:00:00,2023-05-12 00:00:00,22774.79,22774.79,0
INV00181,CUST020,2025-06-27 00:00:00,2025-07-27 00:00:00,8190.01,4095,4095.01
INV00182,CUST092,2023-05-02 00:00:00,2023-07-01 00:00:00,17430.87,0,17430.87
INV00183,CUST072,2025-01-19 00:00:00,2025-02-18 00:00:00,7155.01,7155.01,0
INV00184,CUST061,2024-11-15 00:00:00,2024-12-30 00:00:00,5169.94,1292.48,3877.46
INV00185,CUST105,2023-11-05 00:00:00,2023-12-20 00:00:00,5023.5,0,5023.5
INV00186,CUST039,2024-11-25 00:00:00,2025-01-09 00:00:00,8881.64,4440.82,4440.82
INV00187,CUST001,2023-10-15 00:00:00,2023-11-14 00:00:00,11033.96,2758.49,8275.47
INV00188,CUST003,2023-11-03 00:00:00,2024-01-02 00:00:00,20858.25,20858.25,0
INV00189,CUST077,2025-07-02 00:00:00,2025-08-31 00:00:00,3437.33,0,3437.33
INV00190,CUST092,2024-10-23 00:00:00,2024-11-22 00:00:00,18505.68,18505.68,0
INV00191,CUST062,2024-07-02 00:00:00,2024-08-16 00:00:00,13520.65,6760.32,6760.33
INV00192,CUST063,2023-11-08 00:00:00,2024-01-07 00:00:00,7554.66,0,7554.66
INV00193,CUST113,2025-05-22 00:00:00,2025-07-06 00:00:00,12574.08,12574.08,0
INV00194,CUST025,2025-12-18 00:00:00,2026-01-17 00:00:00,7848.58,3924.29,3924.29
INV00195,CUST056,2025-07-12 00:00:00,2025-08-26 00:00:00,15104.01,0,15104.01
INV00196,CUST033,2025-01-24 00:00:00,2025-03-25 00:00:00,11129.18,2782.3,8346.88
INV00197,CUST038,2023-02-04 00:00:00,2023-04-05 00:00:00,4527.94,4527.94,0
INV00198,CUST117,2024-03-20 00:00:00,2024-05-04 00:00:00,3356.29,0,3356.29
INV00199,CUST006,2023-04-03 00:00:00,2023-05-03 00:00:00,13894.04,0,13894.04
INV00200,CUST058,2023-12-19 00:00:00,2024-02-02 00:00:00,22609.12,0,22609.12
INV00201,CUST044,2025-06-21 00:00:00,2025-07-21 00:00:00,8926.96,0,8926.96
INV00202,CUST045,2025-05-11 00:00:00,2025-06-25 00:00:00,18458.5,13843.88,4614.62
INV00203,CUST032,2023-06-08 00:00:00,2023-08-07 00:00:00,16637.2,4159.3,12477.9
INV00204,CUST045,2025-08-14 00:00:00,2025-09-13 00:00:00,23323.1,0,23323.1
INV00205,CUST061,2023-01-24 00:00:00,2023-02-23 00:00:00,20614.03,0,20614.03
INV00206,CUST047,2024-02-08 00:00:00,2024-03-09 00:00:00,14381.83,0,14381.83
INV00207,CUST021,2025-03-15 00:00:00,2025-05-14 00:00:00,16597.25,16597.25,0
INV00208,CUST080,2024-05-30 00:00:00,2024-07-14 00:00:00,22510.47,0,22510.47
INV00209,CUST118,2025-01-01 00:00:00,2025-03-02 00:00:00,10288.21,10288.21,0
INV00210,CUST085,2024-06-15 00:00:00,2024-07-15 00:00:00,8506.47,2126.62,6379.85
INV00211,CUST075,2025-08-13 00:00:00,2025-09-27 00:00:00,764.87,0,764.87
INV00212,CUST101,2023-06-01 00:00:00,2023-07-31 00:00:00,20750.5,20750.5,0
INV00213,CUST036,2025-08-04 00:00:00,2025-09-03 00:00:00,20124.03,5031.01,15093.02
INV00214,CUST099,2024-08-30 00:00:00,2024-09-29 00:00:00,3059.14,2294.36,764.78
INV00215,CUST019,2024-02-24 00:00:00,2024-04-24 00:00:00,14633.01,14633.01,0
INV00216,CUST020,2025-05-15 00:00:00,2025-07-14 00:00:00,11867.55,0,11867.55
INV00217,CUST057,2024-07-31 00:00:00,2024-09-29 00:00:00,3408.37,0,3408.37
INV00218,CUST018,2023-12-01 00:00:00,2023-12-31 00:00:00,24523.92,18392.94,6130.98
INV00219,CUST047,2025-07-20 00:00:00,2025-09-18 00:00:00,5760.05,0,5760.05
INV00220,CUST105,2023-10-22 00:00:00,2023-11-21 00:00:00,2147.24,0,2147.24
INV00221,CUST049,2025-01-24 00:00:00,2025-03-25 00:00:00,15073.76,0,15073.76
INV00222,CUST014,2023-07-05 00:00:00,2023-08-04 00:00:00,18602.23,0,18602.23
INV00223,CUST015,2024-09-28 00:00:00,2024-10-28 00:00:00,1294.86,971.14,323.72
INV00224,CUST031,2024-06-13 00:00:00,2024-07-28 00:00:00,16638.58,0,16638.58
INV00225,CUST001,2023-01-21 00:00:00,2023-03-22 00:00:00,13541.15,3385.29,10155.86
INV00226,CUST117,2025-06-29 00:00:00,2025-08-28 00:00:00,3029.99,1515,1514.99
INV00227,CUST054,2025-05-16 00:00:00,2025-06-15 00:00:00,4726.83,1181.71,3545.12
INV00228,CUST118,2025-03-04 00:00:00,2025-04-03 00:00:00,14415.37,0,14415.37
INV00229,CUST003,2023-04-10 00:00:00,2023-05-10 00:00:00,7760.76,5820.57,1940.19
INV00230,CUST016,2025-01-21 00:00:00,2025-03-07 00:00:00,23488.74,0,23488.74
INV00231,CUST087,2024-04-22 00:00:00,2024-06-06 00:00:00,20559.14,15419.36,5139.78
INV00232,CUST057,2025-07-28 00:00:00,2025-08-27 00:00:00,24597.4,24597.4,0
INV00233,CUST075,2024-06-09 00:00:00,2024-08-08 00:00:00,6861.94,1715.48,5146.46
INV00234,CUST012,2023-11-30 00:00:00,2024-01-29 00:00:00,24258.23,12129.12,12129.11
INV00235,CUST074,2023-01-02 00:00:00,2023-02-16 00:00:00,11065.23,2766.31,8298.92
INV00236,CUST096,2024-01-10 00:00:00,2024-02-24 00:00:00,9014.21,2253.55,6760.66
INV00237,CUST016,2023-10-20 00:00:00,2023-11-19 00:00:00,1733.56,1733.56,0
INV00238,CUST072,2025-04-16 00:00:00,2025-06-15 00:00:00,1792.75,1792.75,0
INV00239,CUST102,2025-10-01 00:00:00,2025-10-31 00:00:00,17454.28,0,17454.28
INV00240,CUST076,2024-07-06 00:00:00,2024-08-20 00:00:00,11719.26,5859.63,5859.63
INV00241,CUST024,2023-11-14 00:00:00,2024-01-13 00:00:00,6049.78,6049.78,0
INV00242,CUST028,2024-01-16 00:00:00,2024-03-16 00:00:00,15542.27,15542.27,0
INV00243,CUST117,2023-01-14 00:00:00,2023-02-28 00:00:00,6695.02,3347.51,3347.51
INV00244,CUST008,2024-05-18 00:00:00,2024-06-17 00:00:00,14651.98,3663,10988.98
INV00245,CUST092,2023-08-19 00:00:00,2023-09-18 00:00:00,9300.61,0,9300.61
INV00246,CUST036,2023-05-10 00:00:00,2023-07-09 00:00:00,20677.03,20677.03,0
INV00247,CUST090,2025-04-17 00:00:00,2025-06-01 00:00:00,20607.06,0,20607.06
INV00248,CUST008,2025-06-09 00:00:00,2025-08-08 00:00:00,12195.08,6097.54,6097.54
INV00249,CUST058,2023-01-28 00:00:00,2023-03-14 00:00:00,9095.07,0,9095.07
INV00250,CUST060,2023-03-07 00:00:00,2023-04-06 00:00:00,9382.72,0,9382.72
INV00251,CUST050,2023-09-18 00:00:00,2023-11-02 00:00:00,20240.01,5060,15180.01
INV00252,CUST028,2024-04-04 00:00:00,2024-05-04 00:00:00,8540.4,8540.4,0
INV00253,CUST092,2023-10-28 00:00:00,2023-12-12 00:00:00,5621.95,0,5621.95
INV00254,CUST101,2025-07-07 00:00:00,2025-09-05 00:00:00,2574.86,1287.43,1287.43
INV00255,CUST041,2023-10-14 00:00:00,2023-11-13 00:00:00,11933.98,0,11933.98
INV00256,CUST100,2025-10-30 00:00:00,2025-12-29 00:00:00,12312.24,0,12312.24
INV00257,CUST064,2024-09-21 00:00:00,2024-11-20 00:00:00,21102.26,5275.56,15826.7
INV00258,CUST027,2023-09-27 00:00:00,2023-10-27 00:00:00,5920.35,2960.18,2960.17
INV00259,CUST118,2024-08-14 00:00:00,2024-09-13 00:00:00,9834.29,0,9834.29
INV00260,CUST063,2025-04-23 00:00:00,2025-06-22 00:00:00,20305.94,0,20305.94
INV00261,CUST017,2025-05-11 00:00:00,2025-07-10 00:00:00,20678.78,0,20678.78
INV00262,CUST073,2023-05-13 00:00:00,2023-07-12 00:00:00,9922.97,0,9922.97
INV00263,CUST033,2025-08-29 00:00:00,2025-10-28 00:00:00,11748.54,11748.54,0
INV00264,CUST117,2024-05-27 00:00:00,2024-06-26 00:00:00,7930.5,7930.5,0
INV00265,CUST084,2023-11-09 00:00:00,2023-12-09 00:00:00,23347.59,0,23347.59
INV00266,CUST077,2024-07-29 00:00:00,2024-09-27 00:00:00,3406.77,1703.38,1703.39
INV00267,CUST092,2025-06-04 00:00:00,2025-07-19 00:00:00,23376.86,23376.86,0
INV00268,CUST112,2024-11-17 00:00:00,2025-01-01 00:00:00,17254.73,0,17254.73
INV00269,CUST029,2023-06-14 00:00:00,2023-07-14 00:00:00,13523.52,13523.52,0
INV00270,CUST013,2023-11-01 00:00:00,2023-12-31 00:00:00,1300.15,1300.15,0
INV00271,CUST046,2023-06-05 00:00:00,2023-08-04 00:00:00,12152.11,0,12152.11
INV00272,CUST035,2024-09-11 00:00:00,2024-10-11 00:00:00,10489.83,0,10489.83
INV00273,CUST006,2025-08-14 00:00:00,2025-09-28 00:00:00,4449.86,4449.86,0
INV00274,CUST082,2023-11-30 00:00:00,2024-01-14 00:00:00,16582.04,8291.02,8291.02
INV00275,CUST115,2025-08-26 00:00:00,2025-10-10 00:00:00,24293.2,0,24293.2
INV00276,CUST069,2024-05-25 00:00:00,2024-06-24 00:00:00,14273.63,0,14273.63
INV00277,CUST047,2025-11-09 00:00:00,2025-12-24 00:00:00,18011.46,4502.86,13508.6
INV00278,CUST025,2023-10-09 00:00:00,2023-11-08 00:00:00,2177.04,1088.52,1088.52
INV00279,CUST066,2025-03-07 00:00:00,2025-04-06 00:00:00,10732.84,8049.63,2683.21
INV00280,CUST010,2025-10-21 00:00:00,2025-12-20 00:00:00,3350.78,3350.78,0
INV00281,CUST056,2023-04-29 00:00:00,2023-06-13 00:00:00,15513.5,0,15513.5
INV00282,CUST030,2025-11-24 00:00:00,2025-12-24 00:00:00,23492.81,11746.4,11746.41
