InvoiceNo,SalesRepID,OrderDate,InvoiceDate,DueDate,InvoiceAmount,AmountPaid,OutstandingAmount,PaymentStatus
INV00050,SR012,2025-02-03,2025-02-08,2025-03-25,19489.82,14607.18,4882.64,Partially Paid
INV00051,SR008,2025-03-18,2025-03-20,2025-04-19,17687.62,438.41,17249.21,Partially Paid
INV00052,SR024,2025-04-18,2025-04-21,2025-06-05,16143.59,13949.1,2194.49,Partially Paid
INV00053,SR008,2024-05-16,2024-05-18,2024-07-17,2607.86,2274.49,333.37,Partially Paid
INV00054,SR016,2024-04-23,2024-04-25,2024-06-09,7318.34,6004.96,1313.38,Partially Paid
INV00055,SR008,2024-04-24,2024-04-25,2024-06-24,4266.03,1400.38,2865.65,Partially Paid
INV00056,SR003,2025-05-10,2025-05-13,2025-06-27,13008.89,5199.37,7809.52,Partially Paid
INV00057,SR018,2024-06-18,2024-06-19,2024-07-19,17602.25,4597.98,13004.27,Partially Paid
INV00058,SR019,2025-05-07,2025-05-10,2025-06-09,2613.85,1135.88,1477.97,Partially Paid
INV00059,SR024,2025-02-06,2025-02-09,2025-03-26,12321.07,6301.28,6019.79,Partially Paid
INV00060,SR013,2025-04-05,2025-04-10,2025-05-10,5467.09,3874.99,1592.1,Partially Paid
INV00061,SR001,2024-09-23,2024-09-28,2024-11-27,14528.88,10779.7,3749.18,Partially Paid
INV00062,SR022,2024-04-10,2024-04-13,2024-05-28,1864.49,1238.46,626.03,Partially Paid
INV00063,SR011,2024-11-15,2024-11-18,2025-01-17,17036.3,12261.95,4774.35,Partially Paid
INV00064,SR010,2024-09-16,2024-09-19,2024-11-18,8463.66,3405.78,5057.88,Partially Paid
INV00065,SR010,2024-10-10,2024-10-12,2024-11-11,8698.7,8179.94,518.76,Partially Paid
INV00066,SR022,2025-01-18,2025-01-20,2025-03-21,11597.55,4709.48,6888.07,Partially Paid
INV00067,SR001,2024-06-04,2024-06-07,2024-07-07,8882.82,5151.9,3730.92,Partially Paid
INV00068,SR021,2024-06-13,2024-06-17,2024-08-01,9122.12,1949.41,7172.71,Partially Paid
INV00069,SR016,2025-02-10,2025-02-12,2025-04-13,2153.51,1110.03,1043.48,Partially Paid
INV00070,SR021,2024-11-13,2024-11-16,2024-12-16,16459.26,12363.18,4096.08,Partially Paid
INV00071,SR022,2024-06-07,2024-06-09,2024-07-09,3373.4,155.9,3217.5,Partially Paid
INV00072,SR016,2024-11-08,2024-11-09,2024-12-24,8581.6,5404.39,3177.21,Partially Paid
INV00073,SR007,2025-01-02,2025-01-06,2025-02-20,8293.23,1223.84,7069.39,Partially Paid
INV00074,SR023,2024-01-03,2024-01-04,2024-02-18,4767.4,3833.51,933.89,Partially Paid
INV00075,SR023,2024-09-22,2024-09-26,2024-10-26,11369.41,10431.09,938.32,Partially Paid
INV00076,SR004,2024-08-21,2024-08-23,2024-10-07,13517.77,13354.1,163.67,Partially Paid
INV00077,SR020,2024-06-11,2024-06-15,2024-08-14,16392.63,14622.56,1770.07,Partially Paid
INV00078,SR014,2025-03-01,2025-03-06,2025-04-20,17995.56,13382.5,4613.06,Partially Paid
INV00079,SR016,2024-08-18,2024-08-21,2024-09-20,16877.33,4680.28,12197.05,Partially Paid
INV00080,SR025,2024-09-23,2024-09-27,2024-11-26,5165.29,2272.07,2893.22,Partially Paid
INV00081,SR023,2024-05-26,2024-05-28,2024-07-12,7049.03,6294.97,754.06,Partially Paid
INV00082,SR003,2024-03-11,2024-03-13,2024-04-12,7969.19,1217.73,6751.46,Partially Paid
INV00083,SR007,2024-02-02,2024-02-06,2024-03-22,6952.19,3239.19,3713,Partially Paid
INV00084,SR002,2024-04-15,2024-04-19,2024-06-03,18144.35,10597.74,7546.61,Partially Paid
INV00085,SR023,2024-01-11,2024-01-16,2024-03-01,9801.1,9239.91,561.19,Partially Paid
INV00086,SR010,2025-01-20,2025-01-24,2025-03-10,10995.3,8077.52,2917.78,Partially Paid
INV00087,SR020,2025-04-04,2025-04-06,2025-05-21,4778.72,2082.74,2695.98,Partially Paid
INV00088,SR001,2024-07-18,2024-07-21,2024-09-19,13743.27,5556.63,8186.64,Partially Paid
INV00089,SR006,2025-03-06,2025-03-10,2025-04-09,19624.08,10481.68,9142.4,Partially Paid
INV00090,SR013,2024-10-30,2024-11-04,2025-01-03,1028.49,661.06,367.43,Partially Paid
INV00091,SR005,2025-03-19,2025-03-23,2025-04-22,1480.55,561.28,919.27,Partially Paid
INV00092,SR007,2024-08-20,2024-08-23,2024-10-07,15343.98,5817.31,9526.67,Partially Paid
INV00093,SR025,2025-05-02,2025-05-06,2025-06-20,16780.76,7892.11,8888.65,Partially Paid
INV00094,SR024,2024-10-03,2024-10-04,2024-11-18,4872.33,334.33,4538,Partially Paid
INV00095,SR021,2024-01-21,2024-01-22,2024-02-21,4387.53,89.42,4298.11,Partially Paid
INV00096,SR005,2024-05-02,2024-05-04,2024-06-18,13554.45,7644.3,5910.15,Partially Paid
INV00097,SR007,2024-08-26,2024-08-29,2024-10-13,3771.89,2290.47,1481.42,Partially Paid
INV00098,SR024,2025-01-02,2025-01-03,2025-02-02,19312.06,2087.61,17224.45,Partially Paid
INV00099,SR001,2025-04-20,2025-04-23,2025-06-22,13708.27,13134.89,573.38,Partially Paid
INV00100,SR013,2025-04-27,2025-04-29,2025-05-29,12045.91,10004.99,2040.92,Partially Paid
INV00101,SR008,2024-02-22,2024-02-25,2024-04-25,12208.03,1477.84,10730.19,Partially Paid
INV00102,SR019,2025-02-04,2025-02-05,2025-03-22,10888.53,7202.99,3685.54,Partially Paid
INV00103,SR003,2024-09-16,2024-09-19,2024-10-19,17066.72,14034.49,3032.23,Partially Paid
INV00104,SR004,2024-08-09,2024-08-12,2024-10-11,17885.71,8222.76,9662.95,Partially Paid
INV00105,SR005,2024-08-10,2024-08-12,2024-10-11,10674.06,6943.02,3731.04,Partially Paid
INV00106,SR020,2025-02-17,2025-02-22,2025-04-08,9565.04,7898.18,1666.86,Partially Paid
INV00107,SR019,2024-05-17,2024-05-20,2024-06-19,16699.25,1447.21,15252.04,Partially Paid
INV00108,SR015,2024-05-04,2024-05-08,2024-07-07,12401.47,4700.02,7701.45,Partially Paid
INV00109,SR001,2024-09-10,2024-09-13,2024-10-13,10007.22,3550.81,6456.41,Partially Paid
INV00110,SR009,2024-06-23,2024-06-26,2024-08-25,14173.08,3915.58,10257.5,Partially Paid
INV00111,SR001,2024-09-21,2024-09-23,2024-10-23,5206.44,2116.04,3090.4,Partially Paid
INV00112,SR018,2025-01-23,2025-01-25,2025-03-26,9783.82,6964.54,2819.28,Partially Paid
INV00113,SR015,2025-02-09,2025-02-10,2025-03-12,6237.59,2522.49,3715.1,Partially Paid
INV00114,SR008,2024-06-05,2024-06-10,2024-07-25,9728.58,5165.12,4563.46,Partially Paid
INV00115,SR014,2025-01-16,2025-01-21,2025-03-07,7360.31,3339.71,4020.6,Partially Paid
INV00116,SR010,2024-05-08,2024-05-10,2024-06-09,14565.04,4595.97,9969.07,Partially Paid
INV00117,SR024,2024-10-01,2024-10-03,2024-11-02,4719.5,2285.18,2434.32,Partially Paid
INV00118,SR024,2024-10-28,2024-11-02,2025-01-01,6018.47,605.01,5413.46,Partially Paid
INV00119,SR007,2024-05-31,2024-06-02,2024-07-17,3999.11,56.58,3942.53,Partially Paid
INV00120,SR018,2024-03-05,2024-03-08,2024-04-07,19498.75,10789.81,8708.94,Partially Paid
INV00121,SR023,2025-04-28,2025-04-30,2025-06-29,17434.99,8558.47,8876.52,Partially Paid
INV00122,SR001,2024-10-20,2024-10-23,2024-12-07,9834.93,3350.82,6484.11,Partially Paid
INV00123,SR002,2024-05-09,2024-05-13,2024-06-12,16531.26,6624.2,9907.06,Partially Paid
INV00124,SR003,2024-10-22,2024-10-23,2024-11-22,3409.35,1918.92,1490.43,Partially Paid
INV00125,SR010,2024-02-13,2024-02-15,2024-03-16,11382.42,4737.07,6645.35,Partially Paid
INV00126,SR020,2025-02-08,2025-02-13,2025-03-15,15626.02,5943.79,9682.23,Partially Paid
INV00127,SR015,2024-06-01,2024-06-06,2024-07-21,6454.91,4008.68,2446.23,Partially Paid
INV00128,SR020,2025-05-06,2025-05-07,2025-06-06,12697.54,3360.35,9337.19,Partially Paid
INV00129,SR003,2024-03-21,2024-03-23,2024-04-22,11263.85,1763.16,9500.69,Partially Paid
INV00130,SR014,2024-08-18,2024-08-23,2024-10-07,6179.56,1430.42,4749.14,Partially Paid
INV00131,SR023,2024-05-24,2024-05-28,2024-06-27,13904.01,12846.07,1057.94,Partially Paid
INV00132,SR021,2024-10-28,2024-10-30,2024-12-14,2738.14,615.56,2122.58,Partially Paid
INV00133,SR005,2025-04-10,2025-04-13,2025-05-13,1892.49,314.01,1578.48,Partially Paid
INV00134,SR010,2024-10-31,2024-11-05,2024-12-20,9063.49,4248.04,4815.45,Partially Paid
INV00135,SR010,2024-12-24,2024-12-28,2025-02-11,10259.21,5065.95,5193.26,Partially Paid
INV00136,SR003,2024-11-02,2024-11-03,2024-12-18,14823.41,8949.09,5874.32,Partially Paid
INV00137,SR001,2024-02-16,2024-02-18,2024-04-18,16801.19,9664.03,7137.16,Partially Paid
INV00138,SR001,2025-01-26,2025-01-29,2025-03-30,1284.52,971.44,313.08,Partially Paid
INV00139,SR016,2024-09-22,2024-09-26,2024-11-10,4039.04,2364.17,1674.87,Partially Paid
INV00140,SR021,2025-02-20,2025-02-24,2025-03-26,9665.2,3946.77,5718.43,Partially Paid
INV00141,SR011,2024-12-09,2024-12-10,2025-01-09,6931.17,4807.97,2123.2,Partially Paid
INV00142,SR010,2024-12-05,2024-12-09,2025-02-07,1215.59,107.04,1108.55,Partially Paid
INV00143,SR009,2024-06-14,2024-06-15,2024-07-30,17365.76,14325.49,3040.27,Partially Paid
INV00144,SR001,2024-12-02,2024-12-07,2025-01-21,8558.33,1605.39,6952.94,Partially Paid
INV00145,SR012,2024-11-14,2024-11-18,2025-01-17,9119.8,470.69,8649.11,Partially Paid
INV00146,SR009,2024-10-08,2024-10-10,2024-11-24,9043.26,6314.46,2728.8,Partially Paid
INV00147,SR004,2024-01-15,2024-01-20,2024-02-19,14340.77,4456.4,9884.37,Partially Paid
INV00148,SR001,2024-10-09,2024-10-13,2024-11-12,4881.66,4107.46,774.2,Partially Paid
INV00149,SR004,2024-08-24,2024-08-25,2024-10-24,16726.79,8336.22,8390.57,Partially Paid
INV00150,SR023,2024-05-29,2024-06-03,2024-08-02,5831.79,4867.93,963.86,Partially Paid
INV00151,SR016,2024-05-04,2024-05-08,2024-07-07,3320.52,632.93,2687.59,Partially Paid
INV00152,SR020,2024-09-17,2024-09-19,2024-10-19,5886.82,4650.62,1236.2,Partially Paid
INV00153,SR014,2024-06-23,2024-06-28,2024-08-12,16500.71,4667.04,11833.67,Partially Paid
INV00154,SR010,2025-03-04,2025-03-09,2025-05-08,19978.6,9782.33,10196.27,Partially Paid
INV00155,SR005,2024-08-16,2024-08-21,2024-10-05,7229.92,3990.32,3239.6,Partially Paid
INV00156,SR018,2024-07-12,2024-07-16,2024-08-30,17457.23,17121.61,335.62,Partially Paid
INV00157,SR008,2024-10-19,2024-10-23,2024-11-22,17192.25,7062.15,10130.1,Partially Paid
INV00158,SR011,2025-01-16,2025-01-20,2025-03-21,18311.89,6981.06,11330.83,Partially Paid
INV00159,SR022,2025-02-09,2025-02-11,2025-03-28,19314.08,2438.33,16875.75,Partially Paid
INV00160,SR019,2024-06-18,2024-06-19,2024-08-03,2444.38,2225.47,218.91,Partially Paid
INV00161,SR001,2025-01-04,2025-01-06,2025-02-20,17483.19,16957.94,525.25,Partially Paid
INV00162,SR003,2024-08-28,2024-08-31,2024-10-15,12653.56,5029.58,7623.98,Partially Paid
INV00163,SR003,2025-03-12,2025-03-15,2025-05-14,17257.17,6557.89,10699.28,Partially Paid
INV00164,SR011,2024-11-16,2024-11-20,2025-01-19,1200.03,82.11,1117.92,Partially Paid
INV00165,SR021,2024-12-16,2024-12-19,2025-01-18,15061.94,6536.45,8525.49,Partially Paid
INV00166,SR004,2025-01-24,2025-01-25,2025-03-11,3744.11,1121.23,2622.88,Partially Paid
INV00167,SR001,2024-01-24,2024-01-27,2024-02-26,6220.67,2331.76,3888.91,Partially Paid
INV00168,SR005,2024-05-05,2024-05-10,2024-06-24,11535.6,9142.19,2393.41,Partially Paid
INV00169,SR006,2024-03-30,2024-03-31,2024-05-30,17481.37,10833.39,6647.98,Partially Paid
INV00170,SR008,2024-09-11,2024-09-16,2024-10-16,5027.67,3207.17,1820.5,Partially Paid
INV00171,SR015,2024-05-10,2024-05-11,2024-06-25,18073.58,12246.85,5826.73,Partially Paid
INV00172,SR006,2024-02-07,2024-02-11,2024-03-27,19759.21,5911.05,13848.16,Partially Paid
INV00173,SR014,2024-12-19,2024-12-22,2025-02-05,16983.43,3383.39,13600.04,Partially Paid
INV00174,SR013,2025-03-12,2025-03-16,2025-04-15,5125.51,2931.4,2194.11,Partially Paid
INV00175,SR019,2024-05-31,2024-06-03,2024-07-03,19569.92,12881.5,6688.42,Partially Paid
INV00176,SR009,2024-01-05,2024-01-10,2024-03-10,15677.08,15263.25,413.83,Partially Paid
INV00177,SR020,2025-01-16,2025-01-20,2025-03-06,15626.95,3596.05,12030.9,Partially Paid
INV00178,SR012,2024-04-22,2024-04-24,2024-06-23,5387.22,4070.46,1316.76,Partially Paid
INV00179,SR025,2024-12-03,2024-12-05,2025-02-03,2394.7,1502.57,892.13,Partially Paid
INV00180,SR002,2024-06-07,2024-06-11,2024-07-11,11801.69,8643.08,3158.61,Partially Paid
INV00181,SR003,2025-04-10,2025-04-13,2025-05-28,15075.88,2647.93,12427.95,Partially Paid
INV00182,SR005,2025-02-06,2025-02-11,2025-03-28,10851.62,9912.81,938.81,Partially Paid
INV00183,SR006,2024-05-11,2024-05-15,2024-06-29,15057.91,5100.34,9957.57,Partially Paid
INV00184,SR004,2024-08-27,2024-08-28,2024-09-27,15205.95,3430.69,11775.26,Partially Paid
INV00185,SR022,2025-01-05,2025-01-09,2025-03-10,7632.61,6034.97,1597.64,Partially Paid
INV00186,SR001,2024-05-15,2024-05-20,2024-06-19,9368.33,6303.28,3065.05,Partially Paid
INV00187,SR022,2024-05-14,2024-05-19,2024-07-03,16537.14,15549.74,987.4,Partially Paid
INV00188,SR004,2024-12-11,2024-12-13,2025-01-27,987.98,873.61,114.37,Partially Paid
INV00189,SR018,2024-06-16,2024-06-21,2024-07-21,13129.22,8342.36,4786.86,Partially Paid
INV00190,SR015,2025-04-10,2025-04-13,2025-06-12,8461.77,1182.76,7279.01,Partially Paid
INV00191,SR002,2024-06-04,2024-06-08,2024-07-08,2395.24,2125.2,270.04,Partially Paid
INV00192,SR005,2024-07-17,2024-07-21,2024-09-04,13574.48,10087.74,3486.74,Partially Paid
INV00193,SR018,2024-08-02,2024-08-07,2024-10-06,14668.68,12987.85,1680.83,Partially Paid
INV00194,SR021,2024-02-20,2024-02-24,2024-04-24,8458.26,8048.22,410.04,Partially Paid
INV00195,SR002,2024-12-19,2024-12-22,2025-01-21,9145.97,8693.75,452.22,Partially Paid
INV00196,SR012,2024-02-20,2024-02-23,2024-04-23,18083.08,11660.45,6422.63,Partially Paid
INV00197,SR002,2024-07-22,2024-07-25,2024-08-24,19380.03,18391.86,988.17,Partially Paid
INV00198,SR015,2024-02-16,2024-02-18,2024-04-18,12970.11,12595.19,374.92,Partially Paid
INV00199,SR002,2025-02-06,2025-02-09,2025-03-11,19782.01,15568.01,4214,Partially Paid
INV00200,SR007,2024-02-05,2024-02-10,2024-03-11,11934.47,9703.36,2231.11,Partially Paid
INV00201,SR008,2024-06-17,2024-06-19,2024-08-18,555.29,476.66,78.63,Partially Paid
INV00202,SR005,2024-03-07,2024-03-12,2024-04-26,16071.02,1766.63,14304.39,Partially Paid
INV00203,SR001,2024-03-08,2024-03-09,2024-04-23,15904.7,3784.23,12120.47,Partially Paid
INV00204,SR011,2024-01-09,2024-01-11,2024-02-25,1521.78,1128.73,393.05,Partially Paid
INV00205,SR017,2024-02-28,2024-02-29,2024-04-14,9241.37,3345.74,5895.63,Partially Paid
INV00206,SR019,2024-02-25,2024-02-29,2024-04-29,4820.22,2964.95,1855.27,Partially Paid
INV00207,SR024,2025-02-05,2025-02-10,2025-03-27,9431.83,9092.53,339.3,Partially Paid
INV00208,SR002,2024-09-02,2024-09-06,2024-10-21,13878.9,6804.39,7074.51,Partially Paid
INV00209,SR015,2024-02-07,2024-02-08,2024-03-24,12361.8,811.95,11549.85,Partially Paid
INV00210,SR009,2024-11-15,2024-11-20,2025-01-19,14386.98,5480.06,8906.92,Partially Paid
INV00211,SR020,2024-09-28,2024-10-01,2024-11-15,10358.25,4456.11,5902.14,Partially Paid
INV00212,SR023,2024-02-28,2024-03-04,2024-05-03,17377.1,7473.37,9903.73,Partially Paid
INV00213,SR008,2024-07-30,2024-08-02,2024-09-16,8275.24,6037.72,2237.52,Partially Paid
INV00214,SR011,2024-08-06,2024-08-09,2024-10-08,5470.35,5216.48,253.87,Partially Paid
INV00215,SR022,2025-04-17,2025-04-21,2025-05-21,2278.88,194.54,2084.34,Partially Paid
INV00216,SR014,2024-02-19,2024-02-22,2024-03-23,11349.23,6655.93,4693.3,Partially Paid
INV00217,SR018,2024-10-14,2024-10-17,2024-12-16,2883.51,1019.6,1863.91,Partially Paid
INV00218,SR022,2025-04-26,2025-04-30,2025-06-29,1503.2,432.36,1070.84,Partially Paid
INV00219,SR010,2024-06-29,2024-06-30,2024-08-29,10394.54,1608.35,8786.19,Partially Paid
INV00220,SR016,2024-04-24,2024-04-25,2024-06-09,16984.78,6242.94,10741.84,Partially Paid
INV00221,SR025,2024-05-22,2024-05-27,2024-06-26,16240.82,13726.01,2514.81,Partially Paid
INV00222,SR025,2025-02-23,2025-02-28,2025-04-29,13662.05,7606.21,6055.84,Partially Paid
INV00223,SR020,2025-04-20,2025-04-23,2025-05-23,4018.11,2823.52,1194.59,Partially Paid
INV00224,SR010,2025-04-16,2025-04-19,2025-06-03,619.06,538.5,80.56,Partially Paid
INV00225,SR019,2024-12-02,2024-12-06,2025-01-05,3266.56,2068.29,1198.27,Partially Paid
INV00226,SR001,2024-02-16,2024-02-21,2024-03-22,7835.79,3554.67,4281.12,Partially Paid
INV00227,SR006,2024-07-08,2024-07-11,2024-09-09,6825.47,6425.55,399.92,Partially Paid
INV00228,SR020,2024-02-13,2024-02-14,2024-03-15,3569.49,2205.37,1364.12,Partially Paid
INV00229,SR022,2024-02-11,2024-02-14,2024-03-30,13407.8,6511.66,6896.14,Partially Paid
INV00230,SR015,2024-07-31,2024-08-03,2024-09-02,15221.39,1732.46,13488.93,Partially Paid
INV00231,SR014,2024-02-26,2024-02-29,2024-04-29,13730.48,6681.7,7048.78,Partially Paid
INV00232,SR022,2024-06-06,2024-06-07,2024-07-07,8207.64,4919.04,3288.6,Partially Paid
INV00233,SR001,2024-04-14,2024-04-17,2024-05-17,15463.32,11816.46,3646.86,Partially Paid
INV00234,SR010,2024-06-16,2024-06-17,2024-07-17,10199.01,4392.25,5806.76,Partially Paid
INV00235,SR005,2024-07-13,2024-07-18,2024-09-16,4987.16,2786.44,2200.72,Partially Paid
INV00236,SR022,2025-02-16,2025-02-19,2025-03-21,8242.89,6116.57,2126.32,Partially Paid
INV00237,SR014,2024-01-10,2024-01-14,2024-02-13,17311.15,9967.05,7344.1,Partially Paid
INV00238,SR019,2024-07-26,2024-07-30,2024-09-13,2745.88,57.27,2688.61,Partially Paid
INV00239,SR011,2024-03-28,2024-04-02,2024-05-17,16724.51,15382.7,1341.81,Partially Paid
INV00240,SR003,2024-08-11,2024-08-12,2024-09-11,8995.69,3602.32,5393.37,Partially Paid
INV00241,SR003,2024-07-21,2024-07-24,2024-09-22,7120.51,2371.62,4748.89,Partially Paid
INV00242,SR006,2024-02-09,2024-02-14,2024-04-14,2723.52,1388.86,1334.66,Partially Paid
INV00243,SR025,2024-06-27,2024-06-30,2024-08-29,19185.36,12383.06,6802.3,Partially Paid
INV00244,SR005,2024-04-30,2024-05-01,2024-05-31,5491.38,952.75,4538.63,Partially Paid
INV00245,SR005,2025-01-24,2025-01-25,2025-02-24,19050.2,11962.55,7087.65,Partially Paid
INV00246,SR015,2025-01-21,2025-01-26,2025-03-27,9253.65,8551.8,701.85,Partially Paid
INV00247,SR019,2024-11-25,2024-11-30,2025-01-14,17352.81,10883.98,6468.83,Partially Paid
INV00248,SR005,2024-08-13,2024-08-14,2024-09-28,9123.06,2762.65,6360.41,Partially Paid
INV00249,SR009,2024-10-29,2024-10-30,2024-12-14,10393.07,3226.09,7166.98,Partially Paid
INV00250,SR015,2024-01-20,2024-01-21,2024-03-06,16718.08,1282.8,15435.28,Partially Paid
INV00251,SR003,2024-11-10,2024-11-15,2025-01-14,7997.41,4641.13,3356.28,Partially Paid
INV00252,SR024,2025-04-03,2025-04-04,2025-05-19,18226.47,10419.28,7807.19,Partially Paid
INV00253,SR007,2024-06-13,2024-06-18,2024-08-02,10276.66,9842.19,434.47,Partially Paid
INV00254,SR015,2024-02-22,2024-02-25,2024-04-25,2144.42,1385.57,758.85,Partially Paid
INV00255,SR002,2024-05-06,2024-05-10,2024-06-24,10719.34,6536.71,4182.63,Partially Paid
INV00256,SR012,2024-07-09,2024-07-12,2024-08-26,8471,2866.31,5604.69,Partially Paid
INV00257,SR020,2024-01-27,2024-01-30,2024-02-29,6928.97,3866.11,3062.86,Partially Paid
INV00258,SR013,2024-05-25,2024-05-28,2024-07-27,17105.54,16496.75,608.79,Partially Paid
INV00259,SR020,2025-03-23,2025-03-25,2025-05-09,2089.29,1386.48,702.81,Partially Paid
INV00260,SR012,2024-06-07,2024-06-11,2024-07-11,12103.3,11352.92,750.38,Partially Paid
INV00261,SR010,2024-10-13,2024-10-17,2024-12-16,15937.41,12960.06,2977.35,Partially Paid
INV00262,SR022,2024-12-25,2024-12-30,2025-01-29,13097.48,5545.56,7551.92,Partially Paid
INV00263,SR012,2024-01-10,2024-01-13,2024-02-27,4015.13,860.01,3155.12,Partially Paid
INV00264,SR025,2024-09-05,2024-09-07,2024-10-07,19999.54,3098.83,16900.71,Partially Paid
INV00265,SR010,2025-03-08,2025-03-09,2025-05-08,15532.06,12971.13,2560.93,Partially Paid
INV00266,SR017,2024-01-20,2024-01-23,2024-03-23,3055.46,1151.05,1904.41,Partially Paid
INV00267,SR006,2024-04-02,2024-04-07,2024-05-07,14563.07,636.3,13926.77,Partially Paid
INV00268,SR012,2024-12-12,2024-12-14,2025-01-28,12406.61,9334.62,3071.99,Partially Paid
